file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv1	3488	12208	87371	28584	118863	28568	16154	53892	60475	81064	103636	70296	38715	26046	9413	38680	64206	19548	121527	2628	29237	101155	6335	189	9831	10750	1170	52121	37	2181	55188	14
asv2	6079	949	101	5	96	31519	52	0	72	1713	13	114	219	289	122612	23	15	19	63	4	30810	11	3	47842	9469	586	176211	1017	678	3	5015	15
asv3	922	3293	23363	31	30944	7407	4299	93	16065	22159	27334	19186	10408	7140	2605	10041	17108	5094	33240	17	7810	27645	15	49	20	2929	1375	14285	3	8	14780	2
asv4	9136	6230	465	3	131	1750	8912	5	224	790	310	517	10019	844	4250	10758	188	6640	330	74975	16413	14	3	9155	5	13456	2573	4167	0	91758	701	13
asv5	4	17	8	0	6	17	7	63592	17	33	14	6	23	13	8	21	0	115	10	40694	32	3	588	21	37409	15	0	22	12	19858	12	12
asv6	1957	1566	4863	41565	11048	1958	1614	2	5874	7670	9554	5995	3132	13134	784	3215	7713	2669	7178	2	2512	6972	4	304	4	990	1093	7397	3	3	4625	5
asv7	0	9	0	0	0	0	0	149	1	0	22	0	0	0	0	0	0	0	0	84	0	0	106138	0	169	0	2	0	0	41	0	2
asv8	2046	2561	1284	0	4086	290	16079	0	1626	3109	2077	2745	5917	4934	1836	2850	7636	6632	994	1	23184	1867	0	7	0	8059	5	4232	0	2	1088	0
asv9	43	6	8	0	0	1	111	0	4	23	17	16	13	34	0	0	13	173	4	101459	5	2	0	2	13	11	0	19	0	3	11	0
asv10	7	0	0	0	0	1	0	7	0	1	0	3	0	0	8	0	0	0	9	0	6	0	0	29	1	0	7	0	73020	0	0	0
asv11	10	0	5	1	1	29	0	17	0	5	0	5	1	0	143	11	1	0	8	0	35	0	0	65	12	2	142	1	69655	0	10	0
asv12	1	342	1	4	293	604	2760	0	124	106	0	5	67	676	463	1	183	20	2	4	1234	1	0	717	54812	1502	2	0	0	0	147	0
asv13	3313	197	747	0	777	135	15329	1	2033	3966	2825	1897	242	15548	77	46	4317	744	826	0	1037	751	2	7	0	435	0	5930	0	1	387	0
asv14	0	1471	0	1	100	581	1175	0	22	25	4	3	57	279	138	87	79	41	0	12	438	0	0	2289	51557	724	2	3	0	0	60	0
asv15	253	4431	1051	0	2940	2378	1894	1	1747	2224	3683	1484	4306	1557	1834	6556	2249	3364	1420	0	6505	1673	1	2	3	3597	3	1723	1	1	1252	0
asv16	0	0	0	0	7	1	0	54239	0	0	2	3	2	0	0	0	0	0	2	26	0	0	6	0	14	0	0	0	6	8	0	0
asv17	4337	121	594	1	1622	151	9535	1	1714	3435	2724	1808	653	12066	154	313	3881	2994	678	1	848	734	1	6	0	481	0	4791	1	2	426	0
asv18	2683	512	138	1	664	107	6138	10230	49	98	78	304	3895	347	229	309	78	10972	116	2	1331	67	0	13	2	650	0	330	1	0	521	0
asv19	190	1137	2058	0	2717	762	691	2	2119	2587	3671	2233	1560	1413	584	1937	2759	1146	2210	2	1625	2514	2	45	0	941	1	2075	0	1	1440	1
asv20	2	4916	71	1	109	2245	6141	3	35	21	20	2	6	130	1344	1	115	1	3	1	8007	5	0	7863	0	5967	1	6	0	0	856	0
asv21	40	0	1	0	2	1	4	0	0	0	8	39	7098	1	12	23290	2	1	5	0	268	0	0	6622	0	13	12	2	0	1	0	0
asv22	1	1772	3	1	0	5491	2983	0	3	1	1	1	441	5	671	35	18	1	0	0	4053	0	1	17434	1	2842	0	1	0	1	750	1
asv23	0	0	0	18464	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	17770	1	1	1	0	3	1	1	0	0	1	2	0
asv24	0	0	0	0	1	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30576	0	5
asv25	3691	225	234	0	466	122	5240	0	828	1789	1638	1158	748	6085	177	434	476	2455	437	0	416	658	1	3	0	364	0	2734	0	0	139	0
