Kingdom	Phylum	Class	Order	Family	Genus	Species	NA
asv1	Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
asv2	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calanus	Calanus_helgolandicus
asv3	Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
asv4	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Oithona	Oithona_similis
asv5	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Craniata_XX	Capra	Capra_hircus
asv6	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_polaris
asv7	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Mammalia	NA	NA
asv8	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
asv9	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.
asv10	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA
asv11	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calanus	Calanus_helgolandicus
asv12	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Sarcinochrysidales	Sarcinochrysidaceae	Ankylochrysis	Ankylochrysis_sp1.
asv13	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii
asv14	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadales_clade_A	Pelagomonadales_clade_A1	Pelagomonadales_clade_A1_sp.
asv15	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	NA	NA
asv16	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Craniata_XX	Capra	Capra_hircus
asv17	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_sp.
asv18	Eukaryota	Hacrobia	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-1	Telonemia-Group-1_X	Telonemia-Group-1_X_sp.
asv19	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
asv20	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	NA	NA
asv21	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pseudocalanus	Pseudocalanus_elongatus
asv22	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Carteria	Carteria_sp.
