ID	compound	source	formula
1	18357	KEGG COMPOUND	C8H11NO3
2	3	KEGG COMPOUND	(C4H6O2)n
3	28234	KEGG COMPOUND	C13H12O2
4	15399	KEGG COMPOUND	C10H14O
6	7	KEGG COMPOUND	C10H16
7	8	KEGG COMPOUND	C15H22O
8	9	KEGG COMPOUND	C21H21NO6
9	10	KEGG COMPOUND	C36H38N2O6
10	11	KEGG COMPOUND	C36H38N2O6
11	15392	KEGG COMPOUND	C10H14O2
12	15393	KEGG COMPOUND	C10H18O
13	15395	KEGG COMPOUND	C10H20O7P2
14	15396	KEGG COMPOUND	C10H16O
15	17	KEGG COMPOUND	C19H19NO4
17	19	KEGG COMPOUND	C10H14O
18	20	KEGG COMPOUND	C10H16
19	28429	KEGG COMPOUND	C15H12O8
20	22	KEGG COMPOUND	C16H19NO2
21	23	KEGG COMPOUND	C22H26O6
22	24	KEGG COMPOUND	C20H20O5
23	25	KEGG COMPOUND	C10H16O2
24	26	KEGG COMPOUND	C10H16O2
25	15382	KEGG COMPOUND	C10H16
26	28	KEGG COMPOUND	C10H18O
27	29	KEGG COMPOUND	C19H13NO5
28	30	KEGG COMPOUND	C18H17NO3
29	31	KEGG COMPOUND	C10H18O
30	32	KEGG COMPOUND	C9H19N
31	33	KEGG COMPOUND	C10H18O2
32	15402	KEGG COMPOUND	C10H20O
33	27934	KEGG COMPOUND	C16H30O6
35	37	KEGG COMPOUND	C9H12N2
36	38	KEGG COMPOUND	C38H42N2O6
37	39	KEGG COMPOUND	C20H30O2
39	42	KEGG COMPOUND	C19H21NO3
40	43	KEGG COMPOUND	C18H35NO3
42	27371	KEGG COMPOUND	C6H12O5
43	15403	KEGG COMPOUND	C10H14O
44	47	KEGG COMPOUND	C22H26O8
45	28603	KEGG COMPOUND	C28H36O13
46	49	KEGG COMPOUND	C38H42N2O6
47	28785	KEGG COMPOUND	C3H6N2O4
49	28261	KEGG COMPOUND	C10H16
50	53	KEGG COMPOUND	C10H16
51	15386	KEGG COMPOUND	C14H12O2
52	15387	KEGG COMPOUND	C10H16O
53	15385	KEGG COMPOUND	C15H24
54	15398	KEGG COMPOUND	C10H16O2
55	27429	KEGG COMPOUND	C7H16N4O3
56	15388	KEGG COMPOUND	C10H16O
57	60	KEGG COMPOUND	C10H18O
58	61	KEGG COMPOUND	C10H18O
59	62	KEGG COMPOUND	C14H22O
60	63	KEGG COMPOUND	C20H20O5
61	64	KEGG COMPOUND	C13H19NO2
62	65	KEGG COMPOUND	C15H12O6
63	27415	KEGG COMPOUND	C13H17N
64	29109	KEGG COMPOUND	C17H27NO3
65	29110	KEGG COMPOUND	C17H25NO3
66	28258	KEGG COMPOUND	C13H20O3
67	18429	KEGG COMPOUND	C13H18O3
68	28395	KEGG COMPOUND	C12H10O2
69	28937	KEGG COMPOUND	C15H20O4
70	73	KEGG COMPOUND	C17H12O7
71	74	KEGG COMPOUND	C10H14N2
72	75	KEGG COMPOUND	C13H24N2O
74	77	KEGG COMPOUND	C18H19NO3
75	78	KEGG COMPOUND	C18H20N2
76	79	KEGG COMPOUND	C21H24O6
79	15394	KEGG COMPOUND	C10H18O
80	84	KEGG COMPOUND	C17H17NO2
81	15397	KEGG COMPOUND	C10H16O
82	15400	KEGG COMPOUND	C10H14O
83	87	KEGG COMPOUND	C22H26N4
84	88	KEGG COMPOUND	C10H20O
85	89	KEGG COMPOUND	C10H16
89	93	KEGG COMPOUND	C8H17NO
90	15408	KEGG COMPOUND	C10H14O
93	15383	KEGG COMPOUND	C10H16
94	98	KEGG COMPOUND	C10H18O
96	100	KEGG COMPOUND	C16H14O4
97	15409	KEGG COMPOUND	C10H20O
98	15410	KEGG COMPOUND	C10H18O
99	15411	KEGG COMPOUND	C16H30O6
100	104	KEGG COMPOUND	C12H22O2
101	105	KEGG COMPOUND	C16H14O5
102	106	KEGG COMPOUND	C20H35N3
103	107	KEGG COMPOUND	C13H19NO3
106	110	KEGG COMPOUND	C19H26N2
107	111	KEGG COMPOUND	C7H14O6
108	112	KEGG COMPOUND	C11H15NO2
109	113	ChEBI	C10H13NO2
110	114	KEGG COMPOUND	C38H48N4O2
112	116	KEGG COMPOUND	C14H21NO
113	28827	KEGG COMPOUND	C15H26N2
114	118	KEGG COMPOUND	C17H16O5
116	120	KEGG COMPOUND	C24H27NO4
117	15412	KEGG COMPOUND	C3H6N2O4
119	123	KEGG COMPOUND	C17H16O5
120	37600	KEGG COMPOUND	C6H12O5
121	125	KEGG COMPOUND	C15H26O
122	126	KEGG COMPOUND	C21H21NO6
123	28660	KEGG COMPOUND	C10H16
125	129	KEGG COMPOUND	C10H16
126	28359	KEGG COMPOUND	C10H16
127	15405	KEGG COMPOUND	C10H18O
128	28598	KEGG COMPOUND	C4H9NO3
129	15389	KEGG COMPOUND	C10H16O
