SampleID_technical_duplicates	NPOC_umol_L-1	Sample_ID	original_sample_name	time	condition	coreid
MGC2000300_DOC_PS121_43_06_MC_Rep_1	141.3265594	MGC2000300	Ice_core_#1_T1_DOM	15h	IceMelt	1
MGC2000300_DOC_PS121_43_06_MC_Rep_2	141.6417763	MGC2000300	Ice_core_#1_T1_DOM	15h	IceMelt	1
MGC2000301_DOC_PS121_43_06_MC_Rep_1	84.24161719	MGC2000301	Ice_core_#2_T1_DOM	15h	IceMelt	2
MGC2000301_DOC_PS121_43_06_MC_Rep_2	89.06831819	MGC2000301	Ice_core_#2_T1_DOM	15h	IceMelt	2
MGC2000302_DOC_PS121_43_06_MC_Rep_1	83.31632732	MGC2000302	Ice_core_#3_T1_DOM	15h	IceMelt	3
MGC2000302_DOC_PS121_43_06_MC_Rep_2	87.06217621	MGC2000302	Ice_core_#3_T1_DOM	15h	IceMelt	3
MGC2000303_DOC_PS121_43_06_MC_Rep_1	77.24207145	MGC2000303	control_#1_T1_DOM	15h	Ctr	1
MGC2000303_DOC_PS121_43_06_MC_Rep_2	77.35746442	MGC2000303	control_#1_T1_DOM	15h	Ctr	1
MGC2000304_DOC_PS121_43_06_MC_Rep_1	69.57849417	MGC2000304	control_#2_T1_DOM	15h	Ctr	2
MGC2000304_DOC_PS121_43_06_MC_Rep_2	71.5271143	MGC2000304	control_#2_T1_DOM	15h	Ctr	2
MGC2000305_DOC_PS121_43_06_MC_Rep_1	82.91355408	MGC2000305	control_#3_T1_DOM	15h	Ctr	3
MGC2000305_DOC_PS121_43_06_MC_Rep_2	81.48259385	MGC2000305	control_#3_T1_DOM	15h	Ctr	3
MGC2000306_DOC_PS121_43_06_MC_Rep_1	156.5666278	MGC2000306	Ice_core_#1_T2_DOM	17h	IceMelt	1
MGC2000306_DOC_PS121_43_06_MC_Rep_2	151.9232539	MGC2000306	Ice_core_#1_T2_DOM	17h	IceMelt	1
