npaid	compound_name	formula	origin_type	origin_genus	origin_species	original_reference_doi
NPA000001	Curvularide C	C19H37NO5	Fungus	Curvularia	geniculata	10.1002/chem.201000652
NPA000002	Homopetasinic acid	C24H32O6	Fungus	Diaporthe	sp. strain 1308-05	10.1016/j.tetlet.2016.01.095
NPA000003	A-503083 F	C18H22N4O13	Bacterium	Streptomyces	sp. SANK 62799	10.7164/antibiotics.57.639
NPA000004	Aqabamycin E2	C16H11N3O5	Bacterium	Vibrio	sp.	10.1038/ja.2010.34
NPA000005	Hymenopsin A	C22H32O6	Fungus	Fusarium	verticillioides	10.1021/np900613d
NPA000006	Hibarimicin E	C77H100O34	Bacterium	Microbispora	rosea subsp. hibaria	10.7164/antibiotics.55.270
NPA000007	Chaetoxanthone A	C20H18O7	Fungus	Chaetomium	sp.	10.1021/np800294q
NPA000008	Dihydroxydione 13	C23H35NO4S	Bacterium	Myxococcus	xanthus	10.1021/np030218+
NPA000009	Viticolin B	C10H10O6	Fungus	Penicillium	sp. FKI-4410	10.1038/ja.2010.124
NPA000010	Botryorhodine G	C17H16O7	Fungus	Pseudallescheria	boydii NTOU2362	10.1021/np400192q
NPA000011	Pestapyrone B	C11H10O6	Fungus	Pestalotiopsis	clavispora	10.1016/j.tetlet.2016.03.101
NPA000012	Spiroleptosphol B	C19H28O5	Fungus	Leptosphaeria	doliolum	10.1016/j.bmc.2008.12.004
NPA000013	Not named	C16H21NO4	Fungus	Pithomyces	sp.	10.1021/np030044w
NPA000014	Falconensone A	C21H26O2	Fungus	Emericella	falconensis	10.1248/bpb.23.748
NPA000016	Semiplenamide B	C25H45NO3	Bacterium	Lyngbya	semiplena	10.1021/np030242n
NPA000017	Macrolactin P	C31H46O10	Bacterium	Bacillus	sp. AH159-1	10.1021/np0701327
NPA000018	Lolicine A	C38H53NO5	Fungus	Neotyphodium	perenne	10.1021/jf9706787
NPA000019	Terreulactone C	C27H32O7	Fungus	Aspergillus	terreus Fb000501	10.7164/antibiotics.56.351
NPA000020	3-methyl xanthopurpurin 6-O-methyl ether 8-O-β-D-gentiobioside	C28H32O14	Fungus	Dermocybe	splendida	10.1071/ch99176
NPA000021	Cardinalin 8	C32H38O10	Fungus	Dermocybe	cardinalis	10.1071/c97110
NPA000022	Melithiazol B	C20H24N2O4S2	Bacterium	Melittangium	lichenicola l26	10.7164/antibiotics.52.721
NPA000023	3R-(+)-5-O-[6'-O-acetyl]-α-D-glucopyranosyl-5-hydroxymellein	C18H22O10	Fungus	Xylaria	sp. cfcc 87468	10.3390/molecules19011250
NPA000024	3097-B1	C15H21NO4	Bacterium	Streptomyces	sp. strain SA3097	10.7164/antibiotics.46.1300
NPA000025	Boletopsin 12	C25H22O9	Fungus	Boletopsis	sp.	10.1002/ajoc.201300081
NPA000026	Rhodobacterioxanthin	C42H58O3	Bacterium	Rhodobacter	capsulatus	10.1248/cpb.45.1225
NPA000027	Beauvericin E	C41H57N3O9	Fungus	Beauveria	sp. FKI-1366	10.7164/antibiotics.57.110
NPA000028	2,3-dihydroxy-N-methoxy-6-propylbenzamide	C11H15NO4	Fungus	Xylaria	sp. PSU-H182	10.1016/j.tet.2016.03.095
NPA000029	Daryamide C	C17H22N2O4	Bacterium	Streptomyces	sp. strain CNQ-085	10.1021/np0603828
NPA000030	3α,6β,16β,17,18-pentahydroxyaphidicolane	C20H34O5	Fungus	Cephalosporium	aphidicola	10.1016/0031-9422(92)80018-a
NPA000031	Quinine	C20H24N2O2	Fungus	Diaporthe	sp.	10.1248/cpb.59.1073
NPA000032	Cyclo(4-hydroxy-R-Pro-S-Leu)	C11H18N2O3	Fungus	Aureobasidium	pullulans	10.1021/np980011u
NPA000033	Pyrrospirone A	C31H39NO5	Fungus	Neonectria	ramulariae	10.1016/j.bmcl.2008.10.032
NPA000034	5-demethoxyfumagillol	C15H24O3	Fungus	Aspergillus	fumigatus	10.1248/cpb.52.447
NPA000035	Talapolyester C	C23H32O12	Fungus	Talaromyces	flavus BYD07-13	10.1016/j.tet.2014.02.060
NPA000036	Amamistatin B	C36H53N5O10	Bacterium	Actinomyces	sp.	10.1016/s0040-4039(99)00050-7
NPA000037	Lajollamycin	C36H53N3O10	Bacterium	Streptomyces	nodosus (NPS007994)	10.1021/np049725x
