Unique-Ice	HG-Sediment	UIW-DOM
C20H30O3	C9H16O2	C7H7NO4S
C19H34O4	C8H15NO2	C8H11NO5
C42H62O8	C8H14O3	C8H10O4S
C20H42O11	C9H18O2	C8H10O6
C20H19O3N3	C7H13NO3	C12H10O3
C24H50O13	C7H12O4	C13H14O2
C22H22O3	C8H16O3	C9H18N2O3
C39H56O7	C9H6O3	C14H18O
C18H38O10	C6H10O5	C15H22
C16H34O9	C10H10O2	C8H13NO5
C10H22O6	C11H14O	C12H13NO2
C23H38O7	C9H8O3	C11H8O4
C24H42O21	C10H12O2	C11H12N2O2
C22H46O12	C9H11NO2	C13H16O2
C9H7O2N1	C8H6O4	C14H20O
C10H16O4S1	C9H10O3	C11H11NO3
C10H18O4S1	C10H14O2	C9H19NO4
C10H20O4S1	C8H8O4	C10H6O5
C14H23O2N1	C9H12O3	C8H14O6
C12H24O3S1	C10H16O2	C12H14O3
C12H10O4S1	C11H20O	C9H18O5
C12H11O4P1	C9H15NO2	C13H18O2
C10H22O5S1	C10H19NO	C10H9NO4
C12H24O4S1	C9H14O3	C11H13NO3
C11H22O5S1	C10H18O2	C10H8O3S
C10H20O6S1	C7H9NO4	C7H12O5S
C11H24O5S1	C9H17NO2	C8H16O4S
C9H18O7S1	C7H8O3S	C10H12N2O3
C12H23O4N1S1	C7H8O5	C12H16O3
C11H22O6S1	C8H12O4	C13H20O2
C17H33O2N1	C9H16O3	C10H11NO4
C14H28O4S1	C10H20O2	C11H15NO3
C13H26O5S1	C7H10O5	C9H6O6
C12H24O6S1	C11H10O2	C10H14N2O3
C13H28O5S1	C8H14O4	C12H18O3
C14H26O5S1	C10H8O3	C13H22O2
C15H32O6	C7H12O5	C9H9NO5
C13H26O6S1	C11H12O2	C10H13NO4
C16H32O4S1	C8H16O4	C5H8O5S2
C17H36O3S1	C12H16O	C10H12O3S
C15H30O5S1	C10H11NO2	C7H16O5S
C16H35O4P1	C9H6O4	C9H12N2O4
C14H29O5N1S1	C10H10O3	C13H24O2
C14H28O6S1	C11H14O2	C9H11NO3S
C13H26O7S1	C10H13NO2	C9H11NO5
C14H30O6S1	C11H17NO	C10H15NO4
C16H30O5S1	C9H8O4	C11H19NO3
C15H28O6S1	C10H12O3	C9H10O4S
C15H30O6S1	C11H16O2	C13H10O3
C14H28O7S1	C9H11NO3	C9H14N2O4
C13H26O8S1	C8H6O5	C14H14O2
C16H31O5N1S1	C9H10O4	C15H18O
C16H30O6S1	C10H14O3	C9H13NO5
C17H34O5S1	C11H18O2	C10H17NO4
C16H33O5N1S1	C8H9NO4	C8H8O7
C16H32O6S1	C9H13NO3	C12H8O4
C15H30O7S1	C10H17NO2	C9H12O4S
C18H30O5S1	C8H8O5	C8H12N2O5
C16H26O6N1P1	C9H12O4	C13H12O3
C17H32O6S1	C10H16O3	C14H16O2
C18H38O7	C11H20O2	C15H20O
C19H28O5S1	C8H11NO4	C8H11NO6
C17H36O6S1	C9H15NO3	C12H11NO3
C16H34O7S1	C10H19NO2	C9H15NO5
C18H33O5N1S1	C8H10O5	C10H19NO4
C18H37O5N1S1	C12H10O2	C11H23NO3
C17H32O7S1	C9H14O4	C11H6O5
C19H38O6S1	C10H18O3	C8H10O5S
C17H32O8S1	C11H9NO2	C8H10O7
C17H34O8S1	C8H13NO4	C12H10O4
C19H32O7S1	C11H8O3	C13H14O3
C19H34O7S1	C8H12O5	C9H18N2O4
C17H30O9S1	C12H12O2	C14H18O2
C18H34O8S1	C13H16O	C15H22O
C19H38O7S1	C10H20O3	C12H13NO3
C19H32O8S1	C10H7NO3	C11H8O5
C19H34O8S1	C11H11NO2	C11H12N2O3
C21H44O8	C8H15NO4	C13H16O3
C21H34O7S1	C10H6O4	C10H20O5
C19H34O9S1	C11H10O3	C14H20O2
C20H38O8S1	C8H14O5	C11H11NO4
C19H36O9S1	C12H14O2	C12H15NO3
C19H38O9S1	C9H18O4	C10H6O6
C21H34O8S1	C10H9NO3	C11H14N2O3
C16H34O12S1	C11H13NO2	C9H18O6
C20H36O9S1	C9H4O5	C13H18O3
C19H35O9N1S1	C10H8O4	C14H22O2
