clip_id	internal_id	sample_title	locus_tag	condition	replicate	time	fraction	collection_date	geographic location (latitude)	geographic location (longitude)	forward_read_file_name	reverse_read_file_name	sample_description
file025_16S_clip	35R1_Bact	OrgIce	16S	OrgIce	NA	0h	0.2-3um	2019-09-06	80.3192	1.3308	35R1-Bact_S62_L001_R1_001.fastq.gz	35R1-Bact_S62_L001_R2_001.fastq.gz	Original sea-ice, 0.2-3um fraction
file024_16S_clip	31R1_Bact	OrgIce	16S	OrgIce	NA	0h	greater3um	2019-09-06	80.3192	1.3308	31R1-Bact_S51_L001_R1_001.fastq.gz	31R1-Bact_S51_L001_R2_001.fastq.gz	Original sea-ice, >3um fraction
file001_16S_clip	109_ref_Bact	OrgSW	16S	OrgSW	NA	0h	0.2-3um	2019-09-07	79.733	4.4715	109-ref-Bact_S59_L001_R1_001.fastq.gz	109-ref-Bact_S59_L001_R2_001.fastq.gz	Original seawater, 0.2-3um fraction
file011_16S_clip	19R1_Bact	Ctr_17h	16S	Ctr	1	17h	0.2-3um	2019-09-08	80.3192	1.3308	19R1-Bact_S6_L001_R1_001.fastq.gz	19R1-Bact_S6_L001_R2_001.fastq.gz	Control, 17h of incubation, 0.2-3um fraction, Replicate1
file022_16S_clip	2R4_Bact	Ctr_17h	16S	Ctr	2	17h	0.2-3um	2019-09-08	80.3192	1.3308	2R4-Bact_S14_L001_R1_001.fastq.gz	2R4-Bact_S14_L001_R2_001.fastq.gz	Control, 17h of incubation, 0.2-3um fraction, Replicate2
file012_16S_clip	1R4_Bact	Ctr_17h	16S	Ctr	3	17h	0.2-3um	2019-09-08	80.3192	1.3308	1R4-Bact_S25_L001_R1_001.fastq.gz	1R4-Bact_S25_L001_R2_001.fastq.gz	Control, 17h of incubation, 0.2-3um fraction, Replicate3
file018_16S_clip	25R2_Bact	Ctr_17h	16S	Ctr	1	17h	greater3um	2019-09-08	80.3192	1.3308	25R2-Bact_S60_L001_R1_001.fastq.gz	25R2-Bact_S60_L001_R2_001.fastq.gz	Control, 17h of incubation, >3um fraction, Replicate1
file013_16S_clip	20R4_Bact	Ctr_17h	16S	Ctr	3	17h	greater3um	2019-09-08	80.3192	1.3308	20R4-Bact_S36_L001_R1_001.fastq.gz	20R4-Bact_S36_L001_R2_001.fastq.gz	Control, 17h of incubation, >3um fraction, Replicate3
file009_16S_clip	17R4_Bact	IceMelt_17h	16S	IceMelt	1	17h	0.2-3um	2019-09-08	80.3192	1.3308	17R4-Bact_S3_L001_R1_001.fastq.gz	17R4-Bact_S3_L001_R2_001.fastq.gz	Melting ice in seawater, 17h of incubation, 0.2-3um fraction, Replicate1
file010_16S_clip	18R1_Bact	IceMelt_17h	16S	IceMelt	2	17h	0.2-3um	2019-09-08	80.3192	1.3308	18R1-Bact_S70_L001_R1_001.fastq.gz	18R1-Bact_S70_L001_R2_001.fastq.gz	Melting ice in seawater, 17h of incubation, 0.2-3um fraction, Replicate2
file014_16S_clip	21R2_Bact	IceMelt_17h	16S	IceMelt	3	17h	0.2-3um	2019-09-08	80.3192	1.3308	21R2-Bact_S80_L001_R1_001.fastq.gz	21R2-Bact_S80_L001_R2_001.fastq.gz	Melting ice in seawater, 17h of incubation, 0.2-3um fraction, Replicate3
file015_16S_clip	22R1_Bact	IceMelt_17h	16S	IceMelt	1	17h	greater3um	2019-09-08	80.3192	1.3308	22R1-Bact_S38_L001_R1_001.fastq.gz	22R1-Bact_S38_L001_R2_001.fastq.gz	Melting ice in seawater, 17h of incubation, >3um fraction, Replicate1
file016_16S_clip	23R1_Bact	IceMelt_17h	16S	IceMelt	2	17h	greater3um	2019-09-08	80.3192	1.3308	23R1-Bact_S49_L001_R1_001.fastq.gz	23R1-Bact_S49_L001_R2_001.fastq.gz	Melting ice in seawater, 17h of incubation, >3um fraction, Replicate2
file017_16S_clip	24_Bact	IceMelt_27h	16S	IceMelt	1	27h	0.2-3um	2019-09-09	80.3192	1.3308	24-Bact_S17_L001_R1_001.fastq.gz	24-Bact_S17_L001_R2_001.fastq.gz	Melting ice in seawater, 27h of incubation, 0.2-3um fraction, Replicate1
file028_16S_clip	5R4_Bact	IceMelt_33h	16S	IceMelt	1	33h	0.2-3um	2019-09-09	80.3192	1.3308	5R4-Bact_S47_L001_R1_001.fastq.gz	5R4-Bact_S47_L001_R2_001.fastq.gz	Melting ice in seawater, 33h of incubation, 0.2-3um fraction, Replicate1
file031_16S_clip	8R4_Bact	IceMelt_33h	16S	IceMelt	2	33h	0.2-3um	2019-09-09	80.3192	1.3308	8R4-Bact_S58_L001_R1_001.fastq.gz	8R4-Bact_S58_L001_R2_001.fastq.gz	Melting ice in seawater, 33h of incubation, 0.2-3um fraction, Replicate2
